ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County
95379,290,10,170,3420,61,0,1,7,0,3959,17,0.43,63598.0,17.5,72.5,2.5,1.1,26.7,3924,339954.92,0.3738,0.22991202346041056,0.8528773072747015,0.10097719869706841,0.06041055718475073,0.05020387359836901,,,,
96094,440,12,319,5578,158,0,0,16,0,6523,28,0.43,52759.0,16.3,71.7,2.9,4.1,24.6,6846,305970.29,0.5343,0.3415061295971979,0.775435380384968,0.18331805682859761,0.06654991243432574,0.1907618476304739,25.6057817526769,4.96849395675708,272.5348265,Siskiyou 
90001,198,51,1312,32243,696,4,8,93,0,34605,148,0.43,52806.0,90.6,0.5,0.3,7.7,6.6,58245,532229.65,0.4215,0.6442888011325535,0.755960028551035,0.2395431834403997,0.0956709634155428,0.22234665747760166,64.04842878017809,7.258360023992405,903.8647848362309,Los Angeles
90263,0,0,36,193,7,0,0,1,0,237,1,0.42,,18.4,43.9,20.8,10.1,87.7,1913,,,,,,,,,,,
96088,412,11,238,3525,90,0,0,7,0,4283,18,0.42,65298.0,5.8,87.6,1.0,0.7,20.2,4685,313391.24,0.4077,0.09860423232778028,0.7931991672449688,0.0260235947258848,0.035119315623592974,0.06836490311343349,12.094215024301729,2.889639244452006,65.31144556708213,Shasta 
95327,442,10,393,5301,101,0,0,16,0,6263,26,0.42,54199.0,23.6,64.4,1.2,7.0,11.7,9165,398210.57,0.5021,0.3100929614873838,0.588855421686747,0.0783132530120482,0.04946879150066401,0.17099969049829775,21.425819118733603,4.94453978547762,321.86613988028984,Tuolumne 
93516,45,2,95,1268,32,0,1,4,0,1447,6,0.42,64306.0,33.6,45.8,4.9,6.1,21.3,2548,135951.18,0.4719,0.4586108468125595,0.7213114754098361,0.14232488822652756,0.10371075166508087,0.25039246467817894,32.7542985013487,4.86518164826811,387.3273108,Kern 
95912,402,6,392,3933,76,0,1,14,0,4824,20,0.42,64667.0,64.7,30.0,0.0,0.0,12.3,4782,396823.58,0.4393,0.30938833570412516,0.8268194070080862,0.10175202156334232,0.03627311522048364,0.0899748322147651,33.4077092940128,5.89696989261984,135.0264603,Colusa 
93618,463,47,1305,20254,321,1,3,45,0,22439,93,0.41,50993.0,84.9,13.1,0.7,0.3,12.8,32044,313597.79,0.4473,0.4397180359747205,0.7476941039112668,0.19299474605954467,0.04679144385026738,0.31418548563911425,48.261095304036004,6.532608554722078,392.78930804517887,Tulare 
93960,350,40,949,13765,224,0,0,23,0,15351,63,0.41,64821.0,76.4,10.9,2.0,8.8,5.5,26357,559436.33,0.416,0.4308068459657702,0.7097135183527306,0.20188003581020592,0.029095354523227385,0.21228326953388876,13.797188449741014,3.523822924068965,911.2652813606137,Monterey 
96055,302,8,194,2856,83,0,0,6,0,3449,14,0.41,62453.0,30.4,63.7,2.2,0.0,18.6,4149,289863.39,0.4841,0.2770780856423174,0.7138949671772429,0.018599562363238512,0.04785894206549118,0.2292118582791034,,,,
95388,288,14,573,9294,169,0,1,28,0,10367,42,0.41,51699.0,74.2,19.3,3.6,1.6,6.7,13270,320399.99,0.4066,0.39705882352941174,0.7677145708582834,0.1629241516966068,0.039572192513368985,0.1875613253830478,39.93026498158692,5.7673270125203775,315.3081140632857,Merced 
96021,867,21,867,11856,247,0,2,35,0,13895,56,0.4,47914.0,45.9,48.2,2.4,0.1,8.8,15660,262930.15,0.4195,0.3805540063208775,0.5811752988047809,0.09661354581673307,0.05967651979921919,0.16887459807073954,29.018035867816977,4.508391476899418,297.1032104877248,Tehama 
95485,242,3,140,2301,37,0,0,8,0,2731,11,0.4,58682.0,10.3,80.2,3.6,0.6,18.2,3042,354298.19,0.4431,0.2735613010842369,0.616519174041298,0.07300884955752213,0.07339449541284404,0.12959893934371894,,,,
92173,358,65,1557,33059,677,0,3,79,0,35798,144,0.4,54003.0,93.4,2.7,1.5,1.3,10.5,29634,601981.67,0.4712,0.6999007936507936,0.36655143640481586,0.5770652044343784,0.09660218253968254,0.1787321893931702,38.41700063092363,4.986858017705024,3397.7053691930955,San Diego
92539,175,6,215,3058,42,0,0,8,0,3504,14,0.4,48954.0,36.7,55.5,3.4,0.1,15.7,4821,393652.86,0.4429,0.2297734627831715,0.4441602728047741,0.0,0.037540453074433655,0.11203665139525198,19.5545407264806,4.61384345049103,168.861094,Riverside 
95988,531,8,662,6407,130,0,0,23,0,7761,31,0.4,57538.0,29.0,60.5,6.2,0.5,17.1,8483,299583.22,0.4207,0.43493761140819964,0.6107341147439852,0.3260333127698951,0.0196078431372549,0.1974285027637587,42.5854121826118,6.02157539257778,320.7135514,Glenn 
92316,504,49,1300,24005,392,0,9,56,0,26315,105,0.4,68589.0,82.1,13.2,0.8,3.0,11.0,28593,494567.25,0.3586,0.32437086092715234,0.8651821372382912,0.06184194602444633,0.014701986754966888,0.13910290237467018,47.84706194851434,6.570459956171339,1406.3513682492353,San Bernardino
93204,65,6,496,5857,76,0,0,20,0,6520,26,0.4,52080.0,85.0,8.5,1.4,4.0,5.5,13881,210423.67,0.368,0.5286561264822134,0.7228535353535354,0.2537878787878788,0.05764163372859025,0.25601248393611165,32.02042419414205,4.725329895180726,317.09193638326786,Kings 
91905,160,4,113,1932,47,0,1,5,0,2262,9,0.4,,27.4,43.1,0.2,1.2,8.5,1616,429467.62,0.483,0.2900355871886121,0.7324561403508771,0.0,0.0498220640569395,0.2825503355704698,,,,
