ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County,Num_Stations,Total_Ports,L2_Ports,DC_Fast_Ports,HomeownerShare,ChargersPer1000EV,Diesel_share,Gasoline_share,Gasoline_Hybrid_share,PHEV_share,Electric_share,PortsPer10kPeople
92086,82,5,59,1385,50,0,0,14,0,1595,19,1.19,48750.0,16.3,65.4,7.0,0.9,28.0,1306,484873.3,0.5277,0.1469465648854961,0.5634379263301501,0.0259208731241473,0.0114503816793893,0.1465798045602606,15.7137792569062,4.41570561824765,87.30333366,San Diego,0.0,0.0,0.0,0.0,0.8530534351145039,0.0,0.05141065830721003,0.8683385579937304,0.03134796238244514,0.00877742946708464,0.003134796238244514,0.0
95573,194,7,71,1344,52,0,0,13,0,1681,20,1.19,82614.0,4.0,79.8,0.0,0.3,27.1,1342,308675.64,0.3474,0.406196213425129,0.7763915547024952,0.0998080614203454,0.0585197934595524,0.099009900990099,,,,,1.0,2.0,2.0,0.0,0.593803786574871,50.0,0.11540749553837001,0.7995240928019036,0.030933967876264127,0.007733491969066032,0.004164187983343248,14.903129657228018
94589,255,145,845,21986,799,0,3,142,0,24175,287,1.19,76554.0,35.5,14.5,24.1,18.3,21.3,31033,500005.29,0.4164,0.3613194943993423,0.7855381276511788,0.1542862779915162,0.0618641455143356,0.0851767015706806,36.24865535226202,4.654272805223199,1502.0927366024232,Solano ,0.0,0.0,0.0,0.0,0.6386805056006577,0.0,0.010548086866597724,0.9094519131334022,0.033050672182006205,0.005873836608066184,0.0059979317476732165,0.0
92256,107,16,164,2559,84,0,0,19,0,2949,35,1.19,42552.0,27.0,65.5,0.5,2.7,19.5,3159,322136.94,0.4707,0.2739273927392739,0.8677771993753254,0.0239458615304528,0.0468646864686468,0.2118132740552556,15.273683039191424,2.6583679519253534,718.4324848608743,San Bernardino,0.0,0.0,0.0,0.0,0.7260726072607261,0.0,0.03628348592743303,0.8677517802644964,0.028484231943031537,0.006442861987114276,0.0054255679891488644,0.0
93455,1317,264,2099,32617,1351,0,2,184,0,37834,448,1.18,99418.0,36.2,52.2,4.2,2.2,29.8,44091,621799.79,0.3917,0.2398659534703873,0.8402296698495912,0.091243836984335,0.0272604240510407,0.0555175402581999,21.5680629043745,4.853622052246557,585.0395052919017,Santa Barbara,7.0,11.0,9.0,2.0,0.7601340465296127,15.625,0.03480995929587144,0.8621081566844637,0.035708621874504416,0.004863350425543162,0.006977850610561928,2.4948402168242954
95076,1596,441,3373,59627,1929,1,0,350,0,67317,792,1.18,81318.0,73.5,22.1,2.3,0.4,18.1,85739,795217.93,0.4458,0.4330436951731592,0.7521823097721128,0.1895712630359212,0.0433209994595268,0.1181119079071523,30.70815735683385,5.2853738079871,691.4234112006721,Santa Cruz,20.0,59.0,38.0,21.0,0.5669563048268408,25.252525252525253,0.023708721422523286,0.8857643685844586,0.02865546592985427,0.005199281013711247,0.006551094077276171,6.881349210977501
95610,960,178,1434,28379,1313,16,2,188,0,32470,382,1.18,68868.0,18.0,69.0,3.5,3.9,24.0,45792,480134.14,0.418,0.4896835516401994,0.6507131713839982,0.342377980833519,0.0450909933928364,0.0991325354123202,15.611031239281656,2.891320383702733,950.8745274043893,Sacramento ,1.0,1.0,1.0,0.0,0.5103164483598006,2.617801047120419,0.02956575300277179,0.8740067754850631,0.040437326763166,0.005789959963042809,0.005481983369263936,0.21837875611460517
92582,311,85,721,13455,444,1,6,90,0,15113,176,1.17,78812.0,58.9,27.7,3.0,6.9,15.3,20580,479548.18,0.4056,0.2187129885511251,0.90697247706422,0.015045871559633,0.042242400315831,0.1359142926710494,30.62186500011843,5.101340312461558,632.2027835032076,Riverside ,1.0,2.0,2.0,0.0,0.7812870114488749,5.681818181818182,0.020578310064183154,0.8902931251240653,0.02937868060610071,0.00595513796069609,0.00562429696287964,0.9718172983479106
92377,314,115,875,16363,455,2,7,95,0,18226,212,1.16,100625.0,58.5,16.3,2.6,18.8,21.2,20201,586075.31,0.3457,0.168156743389766,0.9524160826263371,0.0234230911102914,0.0138862469088833,0.1150530175403825,36.59991586694392,6.47598840647396,810.7392245619493,San Bernardino,0.0,0.0,0.0,0.0,0.8318432566102341,0.0,0.017228135630418084,0.8977833863711182,0.024964336661911554,0.005212334028311204,0.006309667507955668,0.0
93440,92,12,97,1380,47,0,0,7,0,1635,19,1.16,67418.0,26.1,51.2,1.1,3.2,23.6,1354,809033.33,0.4449,0.230142566191446,0.7790322580645161,0.1274193548387096,0.0,0.017725258493353,,,,,1.0,2.0,2.0,0.0,0.769857433808554,52.63157894736842,0.056269113149847096,0.8440366972477065,0.02874617737003058,0.004281345565749235,0.007339449541284404,14.771048744460858
