ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County,Num_Stations,Total_Ports,L2_Ports,DC_Fast_Ports
90290,162,283,112,3948,547,7,1,175,0,5235,465,8.88,135262.0,9.7,78.4,4.6,1.7,67.3,5114,1491091.05,0.4387,0.2985521717423864,0.9184177997527811,0.0140090646889163,0.0139790314528207,0.0508408290965975,9.04457443120756,4.84340420119033,656.0107537999999,Los Angeles,1.0,2.0,2.0,0.0
90274,323,1382,457,18539,1343,27,19,604,0,22694,2013,8.87,186144.0,6.5,62.2,23.3,2.9,76.7,24890,2393416.0,0.508,0.1092390091497433,0.9271107511642032,0.0728892488357967,0.0214237893327382,0.0336114133720227,6.699583655420468,4.494838059792687,886.4868100788198,Los Angeles,7.0,15.0,10.0,5.0
91302,279,1384,391,17652,1174,19,1,491,0,21391,1894,8.85,146521.0,7.5,74.6,8.7,2.6,65.9,26241,1867588.21,0.5524,0.3015059932383977,0.7301711491442543,0.2548655256723716,0.0176211453744493,0.0962448481147916,14.209495923793352,5.134798006931804,1993.6901157004947,Los Angeles,6.0,10.0,7.0,3.0
90265,371,800,266,9947,808,5,0,300,0,12497,1105,8.84,175607.0,12.4,72.7,5.2,1.0,69.1,16868,3332357.0,0.5329,0.2077982361132601,0.7536012130401819,0.1608361312682768,0.0185672288410954,0.0803200396948458,8.265783674050587,4.487784819803463,1047.3269226219725,Los Angeles,11.0,37.0,21.0,16.0
91011,218,1084,350,13796,1279,32,1,398,0,17158,1514,8.82,187297.0,9.0,54.3,30.0,1.2,73.5,20621,1995786.37,0.4676,0.1025283077400341,0.9763802347485872,0.0236197652514128,0.0155110904296572,0.0319386467333268,8.392721387498726,5.804732041459384,700.6528439673602,Los Angeles,0.0,0.0,0.0,0.0
94904,161,624,147,7873,777,2,0,238,0,9822,864,8.8,143338.0,10.4,77.9,6.8,0.7,71.4,13391,2124747.88,0.5616,0.3588516746411483,0.6103190767141887,0.345213849287169,0.0637958532695374,0.0571085061617072,6.6644690755797775,3.652950611070032,1373.9053841857378,Marin ,3.0,18.0,4.0,14.0
90068,147,950,218,12548,1376,9,1,400,0,15649,1359,8.68,90733.0,11.9,71.3,6.1,5.7,63.4,21127,1663477.53,0.5599,0.5271512838306731,0.4920557829737043,0.5053770901269687,0.068442054129077,0.096636462830305,19.39196576749225,6.168611905129889,2385.712543996828,Los Angeles,15.0,43.0,42.0,1.0
94941,483,1462,314,19142,2037,11,2,612,0,24063,2085,8.67,183882.0,6.4,80.9,5.5,1.2,76.9,32711,1939547.91,0.4878,0.334509583767744,0.7888986013986014,0.2094988344988345,0.0313577672628117,0.0502798478617149,4.00461665480877,3.3516658830582053,1107.3864707378232,Marin ,4.0,11.0,5.0,6.0
92014,247,750,236,9946,801,6,1,307,0,12294,1063,8.65,178080.0,6.8,81.5,4.6,1.7,81.8,12823,2432101.03,0.4594,0.3057593543653705,0.7385079125847777,0.2586284853051997,0.0088041085840058,0.0228071545731469,6.886111330539436,4.2265556529927055,1366.419519820254,San Diego,8.0,14.0,13.0,1.0
92651,438,1311,414,17832,1149,13,3,541,0,21701,1865,8.59,138734.0,8.1,82.0,3.0,0.5,68.2,24042,2779699.88,0.5277,0.3344569970845481,0.7669209431345354,0.2174757281553398,0.0371720116618075,0.0548322483725588,9.871994297925523,5.11075793744662,1323.55371585314,Orange ,9.0,26.0,26.0,0.0
91105,96,620,194,8576,783,11,4,275,0,10559,906,8.58,143892.0,16.3,55.4,17.1,3.6,71.1,12888,1502869.91,0.5136,0.4266886326194398,0.5674554394591272,0.4314689612784265,0.043382756727073,0.0761662964138368,16.52404231442989,6.223841534902051,1194.2163484003745,Los Angeles,15.0,116.0,66.0,50.0
